MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Lot Config,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Exterior 1st,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Sale Type,Sale Condition,SalePrice
60,RL,75,10000,IR1,Corner,1Fam,2Story,6,5,1993,Gable,HdBoard,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,763,763,Gd,Y,763,892,0,1655,0,0,2,1,3,1,TA,7,Typ,TA,Fin,2,440,TA,Y,157,84,0,0,0,0,NA,WD ,Normal,175900
20,RL,0,7980,IR1,Inside,1Fam,1Story,6,7,1992,Gable,HdBoard,0,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,0,233,1168,Ex,Y,1187,0,0,1187,1,0,2,0,3,1,TA,6,Typ,NA,Fin,2,420,TA,Y,483,21,0,0,0,0,GdPrv,WD ,Normal,185000
60,RL,63,8402,IR1,Inside,1Fam,2Story,6,5,1998,Gable,VinylSd,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,789,789,Gd,Y,789,676,0,1465,0,0,2,1,3,1,TA,7,Typ,Gd,Fin,2,393,TA,Y,0,75,0,0,0,0,NA,WD ,Normal,180400
20,RL,85,10176,Reg,Inside,1Fam,1Story,7,5,1990,Gable,HdBoard,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,0,663,1300,Gd,Y,1341,0,0,1341,1,0,1,1,2,1,Gd,5,Typ,Po,Unf,2,506,TA,Y,192,0,0,0,0,0,NA,WD ,Normal,171500
120,RL,0,6820,IR1,Corner,TwnhsE,1Story,8,5,1985,Gable,HdBoard,0,Gd,TA,PConc,Gd,TA,Av,GLQ,368,BLQ,1120,0,1488,TA,Y,1502,0,0,1502,1,0,1,1,1,1,Gd,4,Typ,NA,RFn,2,528,TA,Y,0,54,0,0,140,0,NA,WD ,Normal,212000
60,RL,47,53504,IR2,CulDSac,1Fam,2Story,8,5,2003,Hip,CemntBd,603,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416,Unf,0,234,1650,Ex,Y,1690,1589,0,3279,1,0,3,1,4,1,Ex,12,Mod,Gd,Fin,3,841,TA,Y,503,36,0,0,210,0,NA,WD ,Normal,538000
50,RL,152,12134,IR1,Inside,1Fam,1.5Fin,8,7,1988,Gable,Wd Sdng,0,Gd,TA,Wood,Gd,TA,Av,GLQ,427,Unf,0,132,559,Gd,Y,1080,672,0,1752,0,0,2,0,4,1,TA,8,Typ,NA,RFn,2,492,TA,Y,325,12,0,0,0,0,NA,WD ,Normal,164000
20,RL,88,11394,Reg,Corner,1Fam,1Story,9,2,2010,Hip,VinylSd,350,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,0,411,1856,Ex,Y,1856,0,0,1856,1,0,1,1,1,1,Ex,8,Typ,Ex,Fin,3,834,TA,Y,113,0,0,0,0,0,NA,New,Partial,394432
20,RL,140,19138,Reg,Corner,1Fam,1Story,4,5,1951,Gable,VinylSd,0,TA,TA,CBlock,TA,TA,No,LwQ,120,Unf,0,744,864,Ex,Y,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,NA,Unf,2,400,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,141000
20,RL,85,13175,Reg,Inside,1Fam,1Story,6,6,1978,Gable,Plywood,119,TA,TA,CBlock,Gd,TA,No,ALQ,790,Rec,163,589,1542,TA,Y,2073,0,0,2073,1,0,2,0,3,1,TA,7,Min1,TA,Unf,2,500,TA,Y,349,0,0,0,0,0,MnPrv,WD ,Normal,210000
20,RL,105,11751,IR1,Inside,1Fam,1Story,6,6,1977,Hip,Plywood,480,TA,TA,CBlock,Gd,TA,No,BLQ,705,Unf,0,1139,1844,Ex,Y,1844,0,0,1844,0,0,2,0,3,1,TA,7,Typ,TA,RFn,2,546,TA,Y,0,122,0,0,0,0,MnPrv,COD,Normal,190000
85,RL,85,10625,Reg,Inside,1Fam,SFoyer,7,6,1974,Gable,Plywood,81,TA,TA,CBlock,Gd,TA,Gd,GLQ,885,LwQ,168,0,1053,TA,Y,1173,0,0,1173,1,0,2,0,3,1,Gd,6,Typ,TA,RFn,2,528,TA,Y,0,120,0,0,0,0,MnPrv,WD ,Family,170000
60,FV,0,7500,Reg,Inside,1Fam,2Story,7,5,2000,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,533,Unf,0,281,814,Ex,Y,814,860,0,1674,1,0,2,1,3,1,Gd,7,Typ,NA,RFn,2,663,TA,Y,0,96,0,0,0,0,NA,WD ,Normal,216000
20,RL,0,11241,IR1,CulDSac,1Fam,1Story,6,7,1970,Gable,Wd Sdng,180,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,Y,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,TA,Fin,2,480,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,149000
20,RL,0,12537,IR1,CulDSac,1Fam,1Story,5,6,1971,Gable,VinylSd,0,TA,TA,CBlock,TA,TA,No,GLQ,734,Unf,0,344,1078,Ex,Y,1078,0,0,1078,1,0,1,1,3,1,TA,6,Typ,Fa,Fin,2,500,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,149900
20,RL,65,8450,Reg,Inside,1Fam,1Story,5,6,1968,Gable,VinylSd,0,TA,TA,CBlock,TA,TA,No,BLQ,775,Unf,0,281,1056,Ex,Y,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,Fa,Unf,1,304,TA,Y,0,85,184,0,0,0,NA,WD ,Normal,142000
20,RL,70,8400,Reg,Corner,1Fam,1Story,4,5,1970,Gable,Plywood,0,TA,TA,CBlock,TA,TA,No,ALQ,804,Rec,78,0,882,TA,Y,882,0,0,882,1,0,1,0,2,1,TA,4,Typ,NA,Fin,2,525,TA,Y,240,0,0,0,0,0,MnPrv,WD ,Normal,126000
20,RL,70,10500,Reg,FR2,1Fam,1Story,4,5,1971,Gable,HdBoard,0,TA,TA,CBlock,TA,TA,No,ALQ,432,Unf,0,432,864,TA,Y,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,Po,NA,0,0,NA,Y,0,0,0,0,0,0,NA,ConLI,Normal,115000
120,RH,26,5858,IR1,FR2,TwnhsE,1Story,7,5,1999,Gable,MetalSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,1051,BLQ,0,354,1405,Ex,Y,1337,0,0,1337,1,0,2,0,2,1,Gd,5,Typ,Fa,Fin,2,511,TA,Y,203,68,0,0,0,0,NA,WD ,Normal,184000
160,RM,21,1680,Reg,Inside,Twnhs,2Story,6,5,1971,Gable,HdBoard,504,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,0,327,483,TA,Y,483,504,0,987,0,0,1,1,2,1,TA,5,Typ,NA,Unf,1,264,TA,Y,275,0,0,0,0,0,NA,COD,Normal,96000
160,RM,21,1680,Reg,Inside,Twnhs,2Story,5,5,1971,Gable,HdBoard,492,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,0,225,525,TA,Y,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,NA,Unf,1,320,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,105500
160,RM,21,1680,Reg,Inside,Twnhs,2Story,6,5,1971,Gable,HdBoard,381,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,525,525,TA,Y,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,NA,Unf,1,264,TA,Y,0,0,0,0,0,0,NA,WD ,Family,88000
120,RL,53,4043,Reg,Inside,TwnhsE,1Story,6,5,1977,Gable,Plywood,0,TA,TA,CBlock,Gd,TA,No,ALQ,360,Unf,0,709,1069,TA,Y,1069,0,0,1069,0,0,2,0,2,1,TA,4,Typ,Fa,RFn,2,440,TA,Y,0,55,0,0,165,0,NA,WD ,Normal,127500
160,RL,24,2280,Reg,FR2,Twnhs,2Story,6,6,1975,Gable,Plywood,0,TA,TA,CBlock,TA,TA,No,ALQ,514,Unf,0,341,855,TA,Y,855,601,0,1456,0,0,2,1,3,1,Gd,6,Typ,TA,Unf,2,440,TA,Y,173,0,0,0,0,0,NA,WD ,Normal,149900
120,RL,24,2280,Reg,FR2,Twnhs,1Story,7,6,1975,Gable,Plywood,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,836,836,Ex,Y,836,0,0,836,0,0,1,0,2,1,TA,4,Typ,NA,Unf,1,308,TA,Y,0,30,0,0,0,0,NA,WD ,Normal,120000
160,RL,24,2280,Reg,Inside,Twnhs,2Story,6,5,1978,Gable,Plywood,0,TA,TA,CBlock,Gd,TA,No,ALQ,311,Unf,0,544,855,Fa,Y,855,601,0,1456,0,0,2,1,3,1,TA,7,Typ,TA,Unf,2,440,TA,Y,26,0,0,0,0,0,NA,WD ,Normal,146000
60,RL,102,12858,IR1,Inside,1Fam,2Story,9,5,2009,Gable,VinylSd,162,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1590,1590,Ex,Y,1627,707,0,2334,0,0,2,1,3,1,Ex,10,Typ,Gd,Fin,3,751,TA,Y,144,133,0,0,0,0,NA,New,Partial,376162
20,RL,98,11478,Reg,Inside,1Fam,1Story,8,5,2007,Gable,VinylSd,200,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,Gd,RFn,3,772,TA,Y,0,50,0,0,0,0,NA,WD ,Normal,306000
20,RL,83,10159,IR1,Inside,1Fam,1Story,9,5,2009,Hip,VinylSd,450,Ex,TA,PConc,Ex,TA,Av,GLQ,1646,Unf,0,284,1930,Ex,Y,1940,0,0,1940,1,0,2,1,3,1,Ex,8,Typ,Gd,Fin,3,606,TA,Y,168,95,0,0,0,0,NA,New,Partial,395192
20,RL,94,12883,IR1,Corner,1Fam,1Story,8,5,2009,Gable,VinylSd,256,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1544,1544,Ex,Y,1544,0,0,1544,0,0,2,0,3,1,Gd,7,Typ,NA,RFn,3,868,TA,Y,0,35,0,0,0,0,NA,New,Partial,290941
20,RL,95,12182,Reg,Corner,1Fam,1Story,7,5,2005,Gable,VinylSd,226,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201,Unf,0,340,1541,Ex,Y,1541,0,0,1541,0,0,2,0,3,1,Gd,7,Typ,Gd,RFn,2,532,TA,Y,0,70,0,0,0,0,NA,New,Partial,220000
20,RL,90,11520,Reg,Inside,1Fam,1Story,9,5,2005,Hip,VinylSd,615,Gd,TA,PConc,Ex,TA,No,GLQ,110,Unf,0,1588,1698,Ex,Y,1698,0,0,1698,0,0,2,0,3,1,Ex,7,Typ,Gd,Fin,3,730,TA,Y,192,74,0,0,0,0,NA,WD ,Normal,275000
20,RL,79,14122,IR1,Inside,1Fam,1Story,8,5,2005,Hip,CemntBd,240,Gd,TA,PConc,Ex,TA,No,GLQ,28,Unf,0,1794,1822,Ex,Y,1822,0,0,1822,0,0,2,0,3,1,Ex,8,Typ,Gd,RFn,3,678,TA,Y,0,119,0,0,0,0,NA,WD ,Normal,259000
20,RL,70,10171,IR1,Inside,1Fam,1Story,7,5,2004,Gable,VinylSd,168,Gd,TA,PConc,Gd,TA,No,GLQ,2,Unf,0,1515,1517,Ex,Y,1535,0,0,1535,0,0,2,0,3,1,Gd,7,Typ,NA,RFn,2,532,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,214000
20,RL,100,12919,IR1,Inside,1Fam,1Story,9,5,2009,Hip,VinylSd,760,Ex,TA,PConc,Ex,TA,Gd,GLQ,2188,Unf,0,142,2330,Ex,Y,2364,0,0,2364,1,0,2,1,2,1,Ex,11,Typ,Gd,Fin,3,820,TA,Y,0,67,0,0,0,0,NA,New,Partial,611657
120,RL,44,6371,IR1,Inside,TwnhsE,1Story,7,5,2009,Gable,VinylSd,128,Gd,TA,PConc,Gd,TA,Mn,GLQ,733,Unf,0,625,1358,Ex,Y,1358,0,0,1358,1,0,2,0,2,1,Gd,6,Typ,Gd,RFn,2,484,TA,Y,192,35,0,0,0,0,NA,New,Partial,224000
20,RL,110,14300,Reg,Inside,1Fam,1Story,9,5,2003,Hip,VinylSd,1095,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,0,1473,2846,Ex,Y,2696,0,0,2696,1,0,2,1,3,1,Ex,10,Typ,Gd,Fin,3,958,TA,Y,220,150,0,0,0,0,NA,WD ,Normal,500000
60,RL,105,13650,Reg,Corner,1Fam,2Story,8,5,2002,Gable,VinylSd,232,Gd,TA,PConc,Gd,TA,Gd,GLQ,578,Unf,0,1093,1671,Ex,Y,1687,563,0,2250,1,0,2,1,3,1,Gd,7,Typ,Ex,Fin,3,756,TA,Y,238,130,0,0,0,0,NA,WD ,Normal,320000
120,RL,61,7658,Reg,Inside,TwnhsE,1Story,9,5,2005,Hip,MetalSd,412,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,Y,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,Gd,RFn,2,576,TA,Y,196,82,0,0,0,0,NA,WD ,Normal,319900
120,RL,41,7132,IR1,Inside,TwnhsE,1Story,8,5,2006,Gable,VinylSd,178,Gd,TA,PConc,Gd,TA,Mn,GLQ,24,Unf,0,1346,1370,Ex,Y,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,Gd,RFn,2,484,TA,Y,120,49,0,0,0,0,NA,WD ,Normal,205000
160,RL,36,2628,Reg,Inside,Twnhs,2Story,7,5,2003,Gable,VinylSd,106,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,764,764,Ex,Y,764,862,0,1626,0,0,2,1,2,1,Gd,6,Typ,NA,RFn,2,474,TA,Y,0,27,0,0,0,0,NA,WD ,Normal,175500
20,RL,100,18494,IR1,Corner,1Fam,1Story,6,5,2005,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1324,1324,Ex,Y,1324,0,0,1324,0,0,2,0,3,1,Gd,6,Typ,NA,Fin,2,430,TA,Y,36,23,0,0,0,0,NA,WD ,Normal,199500
120,RL,43,3203,Reg,Inside,TwnhsE,1Story,7,5,2006,Gable,VinylSd,14,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1129,1145,Ex,Y,1145,0,0,1145,0,0,2,0,2,1,Gd,6,Typ,NA,Fin,2,437,TA,Y,100,116,0,0,0,0,NA,WD ,Normal,160000
120,RL,43,3182,Reg,Inside,TwnhsE,1Story,8,5,2004,Gable,VinylSd,16,Gd,TA,PConc,Gd,TA,No,GLQ,24,Unf,0,1232,1256,Ex,Y,1269,0,0,1269,0,0,2,0,2,1,Gd,6,Typ,TA,Fin,2,430,TA,Y,146,20,0,0,144,0,NA,WD ,Normal,192000
80,RL,67,13300,IR1,Inside,1Fam,SLvl,7,5,2004,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,326,Unf,0,58,384,Ex,Y,744,630,0,1374,1,0,2,1,3,1,Gd,7,Typ,Gd,Fin,2,400,TA,Y,100,0,0,0,0,0,NA,WD ,Normal,184500
60,RL,0,7851,Reg,Inside,1Fam,2Story,6,5,2002,Gable,VinylSd,,Gd,TA,PConc,Gd,TA,No,GLQ,625,Unf,0,235,860,Ex,Y,860,1100,0,1960,1,0,2,1,4,1,Gd,8,Typ,TA,Fin,2,440,TA,Y,288,48,0,0,0,0,NA,WD ,Normal,216500
60,RL,63,8577,IR1,Inside,1Fam,2Story,7,5,2004,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,847,Ex,Y,847,886,0,1733,0,0,2,1,3,1,Gd,7,Typ,Gd,Fin,2,433,TA,Y,144,48,0,0,0,0,NA,WD ,Normal,185088
80,RL,0,7750,IR1,Inside,1Fam,SLvl,7,5,2000,Gable,VinylSd,0,TA,TA,PConc,Gd,TA,No,GLQ,250,Unf,0,134,384,Ex,Y,774,656,0,1430,0,0,2,1,3,1,TA,7,Typ,TA,Fin,2,400,TA,Y,180,0,0,0,0,0,NA,WD ,Normal,180000
60,RL,0,9505,IR1,CulDSac,1Fam,2Story,7,5,2001,Gable,VinylSd,180,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,884,884,Ex,Y,884,1151,0,2035,0,0,2,1,3,1,Gd,8,Typ,Gd,Fin,2,434,TA,Y,144,48,0,0,0,0,NA,WD ,Normal,222500
60,RL,108,14774,IR1,Corner,1Fam,2Story,9,5,1999,Gable,VinylSd,165,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1393,1393,Ex,Y,1422,1177,0,2599,0,0,2,1,4,1,Gd,10,Typ,TA,Fin,3,779,TA,Y,668,30,0,0,0,0,NA,WD ,Normal,333168
60,RL,60,17433,IR2,CulDSac,1Fam,2Story,8,5,1998,Hip,VinylSd,114,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1629,1629,Ex,Y,1645,830,0,2475,0,0,2,1,4,1,Gd,7,Typ,TA,Fin,3,962,TA,Y,23,172,0,0,256,0,NA,WD ,Normal,355000
20,RL,59,10593,IR1,Inside,1Fam,1Story,7,5,1996,Hip,VinylSd,338,Gd,TA,PConc,Gd,TA,No,GLQ,919,Unf,0,801,1720,Ex,Y,1720,0,0,1720,1,0,2,0,3,1,Gd,7,Typ,TA,Fin,2,527,TA,Y,240,56,154,0,0,0,NA,WD ,Normal,260400
60,RL,98,12256,IR1,Corner,1Fam,2Story,8,5,1994,Gable,HdBoard,362,Gd,TA,PConc,Ex,TA,Av,GLQ,1032,Unf,0,431,1463,Ex,Y,1500,1122,0,2622,1,0,2,1,3,1,Gd,9,Typ,TA,RFn,2,712,TA,Y,186,32,0,0,0,0,NA,WD ,Normal,325000
60,RL,92,11764,IR1,CulDSac,1Fam,2Story,8,7,1999,Gable,VinylSd,348,Gd,TA,PConc,Gd,TA,No,GLQ,524,Unf,0,628,1152,Ex,Y,1164,1106,0,2270,0,0,2,1,4,1,Gd,9,Typ,Gd,Fin,3,671,TA,Y,132,57,0,0,0,0,NA,WD ,Normal,290000
60,RL,58,16770,IR2,CulDSac,1Fam,2Story,7,5,1998,Gable,VinylSd,30,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1195,1195,Gd,Y,1195,644,0,1839,0,0,2,1,4,1,TA,7,Typ,NA,Fin,2,486,TA,Y,0,81,0,0,0,0,NA,WD ,Normal,221000
50,RL,56,14720,IR1,CulDSac,1Fam,1.5Fin,8,5,1995,Hip,VinylSd,579,Gd,TA,PConc,Gd,TA,Av,GLQ,816,Unf,0,1217,2033,Ex,Y,2053,1185,0,3238,1,0,2,1,4,1,Gd,9,Typ,Ex,Fin,3,666,TA,Y,283,86,0,0,0,0,NA,WD ,Normal,410000
20,RL,73,8987,Reg,Inside,1Fam,1Story,8,5,2005,Gable,VinylSd,226,Gd,TA,PConc,Gd,TA,,Unf,0,Unf,0,1595,1595,Ex,Y,1595,0,0,1595,0,0,2,0,2,1,Gd,6,Typ,Gd,RFn,3,880,TA,Y,144,0,0,0,0,0,NA,WD ,Normal,221500
20,FV,92,9215,Reg,Inside,1Fam,1Story,7,5,2009,Hip,VinylSd,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1218,1218,Ex,Y,1218,0,0,1218,0,0,2,0,2,1,Gd,4,Typ,NA,RFn,2,676,TA,Y,0,136,0,0,0,0,NA,New,Partial,204500
60,FV,72,8640,Reg,Inside,1Fam,2Story,7,5,2009,Gable,VinylSd,0,TA,TA,PConc,Gd,TA,Mn,GLQ,24,Unf,0,732,756,Ex,Y,764,783,0,1547,0,0,2,1,3,1,Gd,7,Typ,NA,Unf,2,614,TA,Y,169,45,0,0,0,0,NA,Con,Normal,215200
20,FV,75,9000,Reg,Inside,1Fam,1Story,8,5,2008,Gable,VinylSd,36,Gd,TA,PConc,Gd,TA,Av,GLQ,1078,Unf,0,488,1566,Ex,Y,1566,0,0,1566,1,0,2,0,3,1,Gd,7,Typ,NA,RFn,2,750,TA,Y,144,168,0,0,0,0,NA,WD ,Normal,262500
60,FV,100,12552,Reg,Corner,1Fam,2Story,7,5,2004,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,222,Unf,0,769,991,Ex,Y,991,956,0,1947,0,0,2,1,3,1,Gd,8,Typ,Gd,RFn,2,678,TA,Y,0,136,0,0,0,0,GdWo,WD ,Normal,254900
20,FV,84,10440,Reg,Corner,1Fam,1Story,6,5,2005,Gable,VinylSd,0,Gd,TA,PConc,Ex,TA,No,GLQ,1414,Unf,0,54,1468,Ex,Y,1468,0,0,1468,1,0,2,0,2,1,Gd,6,Typ,Gd,Fin,2,528,TA,Y,0,102,0,0,216,0,NA,WD ,Normal,271500
60,RL,76,10142,IR1,Inside,1Fam,2Story,7,5,2004,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,656,Unf,0,300,956,Ex,Y,956,1128,0,2084,1,0,2,1,4,1,Gd,8,Typ,NA,RFn,2,618,TA,Y,0,45,0,0,0,0,NA,WD ,Normal,233000
60,RL,70,11920,Reg,Inside,1Fam,2Story,7,5,2004,Gable,VinylSd,122,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,831,831,Ex,Y,831,828,0,1659,0,0,2,1,3,1,Gd,8,Typ,NA,RFn,2,484,TA,Y,144,68,0,0,0,0,NA,WD ,Normal,181000
60,RL,0,8880,IR1,Inside,1Fam,2Story,7,5,1994,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,695,Unf,0,253,948,Ex,Y,1222,888,0,2110,1,0,2,1,3,1,Gd,8,Typ,Fa,RFn,2,463,TA,Y,0,130,0,0,0,0,NA,WD ,Normal,205000
120,RL,50,8012,Reg,Inside,TwnhsE,1Story,6,5,1980,Gable,Plywood,0,TA,TA,CBlock,Gd,TA,No,BLQ,543,BLQ,119,261,923,TA,Y,923,0,0,923,0,0,2,0,2,1,TA,5,Typ,TA,RFn,1,264,TA,Y,80,0,0,0,0,0,NA,WD ,Normal,143000
60,RL,70,11218,Reg,Inside,1Fam,2Story,6,5,1992,Gable,Wd Sdng,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1055,1055,Ex,Y,1055,790,0,1845,0,0,2,1,3,1,Gd,8,Typ,TA,RFn,2,462,TA,Y,635,104,0,0,0,0,GdPrv,WD ,Normal,189000
120,RL,55,7892,Reg,Inside,TwnhsE,1Story,6,5,1979,Gable,Plywood,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,918,918,TA,Y,918,0,0,918,0,0,2,0,2,1,TA,5,Typ,TA,Unf,1,264,TA,Y,28,0,0,0,0,0,NA,WD ,Normal,99500
